             Mean	          Average	          Std dev	          Mimimum	          Maximum	# Occurances	# Books	Lettertriplets
0.00000000000000000	0.00000001139637094	0.00000008828309569	0.00000000000000000	0.00000077248829294	  2	120	ZAU
0.00000000000000000	0.00000001134864642	0.00000008718061163	0.00000000000000000	0.00000069114900758	  2	120	TYH
0.00000000000000000	0.00000001121716196	0.00000008782417075	0.00000000000000000	0.00000080480824639	  2	120	CSF
0.00000000000000000	0.00000001121716196	0.00000008782417075	0.00000000000000000	0.00000080480824639	  2	120	CWA
0.00000000000000000	0.00000001121716196	0.00000008782417075	0.00000000000000000	0.00000080480824639	  2	120	KSD
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	 ΒΟ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	 ΕΚ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	 ΕΧ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	 ΗΛ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	 ΚΥ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	 ΛΕ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	 ΟΨ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	 ΠΕ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	 ΤΙ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	 ΥΕ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	 ΦΩ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	 ΩΣ
